,district,latitude,longitude
1566,timor tengah utara,-9.4522647,124.597132
1567,belu,-9.4125796,124.9506625
1568,alor,-8.2754027,124.7298765
1569,lembata,-8.4719075,123.4831906
1570,flores timur,-8.3130942,122.9663018
1571,sikka,-8.6766175,122.1291843
1572,ende,-8.854053,121.654198
1573,ngada,-8.7430424,120.9876321
1574,manggarai,-8.6796987,120.3896651
1575,rote ndao,-10.7386421,123.1239049
1576,manggarai barat,-8.6688149,120.0665236
1577,sumba tengah,-9.4879226,119.6962677
1578,sumba barat daya,-9.539139,119.1390642
1579,nagekeo,-8.6753545,121.3084088
1580,manggarai timur,-8.6206712,120.6199895
1581,kupang,-10.1833333,123.5833333
1582,sambas,1.361328,109.309998
1583,bengkayang,0.8209729,109.477699
1584,landak,0.4237287,109.7591675
1585,pontianak,-0.022523,109.330307
1586,sanggau,0.119275,110.597298
1587,ketapang,-1.859098,109.971901
1588,sintang,0.080238,111.495499
1589,kapuas hulu,-0.7931004,113.9060624
1590,sekadau,0.015637,110.888603
1591,melawi,-0.7000681,111.6660725
1592,kayong utara,-0.9225877,110.0449662
1593,kubu raya,-0.3533938,109.4735066
1594,pontianak,-0.022523,109.330307
1595,singkawang,0.908795,108.984596
1596,kotawaringin barat,-6.1961131,106.8630174
1597,kotawaringin timur,-6.1952992,106.8630737
1598,kapuas,-0.0459972,110.1313251
1599,barito selatan,-1.875943,114.8092691
1600,barito utara,-0.9587136,115.094045
1601,sukamara,-2.6267517,111.2368084
1602,lamandau,-1.9269166,111.1891151
1603,seruyan,-3.0123467,112.4291464
1604,katingan,-0.9758379,112.8105512
1605,pulang pisau,-2.6849607,113.9536466
1606,gunung mas,-6.7052778,106.9913889
1607,barito timur,-2.0123999,115.188916
1608,murung raya,-0.1362171,114.3341432
1609,palangka raya,-2.21,113.92
1610,tanah laut,-3.7694047,114.8092691
1611,baru,-6.332973,106.807915
1612,banjar,-7.3666667,108.5333333
1613,barito kuala,-3.0714738,114.6667939
1614,tapin,-2.9160746,115.0465991
1615,hulu sungai selatan,-2.7662681,115.2363408
1616,hulu sungai tengah,-2.6153162,115.5207358
1617,hulu sungai utara,-2.4421225,115.188916
1618,tabalong,-1.864302,115.5681084
1619,tanah bumbu,-3.4512244,115.5681084
1620,balangan,-2.3260425,115.6154732
1621,banjarmasin,-3.328499,114.589203
1622,banjar baru,-3.4666667,114.75
1623,paser,-1.7175266,115.9467997
1624,kutai barat,0.1353881,115.094045
1625,kutai kartanegara,-0.1336655,116.6081653
1626,kutai timur,0.9433774,116.9852422
1627,berau,2.0450883,117.3616476
1628,malinau,3.584221,116.647797
1629,bulungan,2.9042476,116.9852422
1630,nunukan,4.0609227,117.666952
1631,penajam paser utara,-1.2917094,116.5137964
1632,tana tidung,3.551869,117.0794082
1633,balikpapan,-1.2635389,116.8278833
1634,samarinda,-0.502183,117.153801
1635,tarakan,3.3,117.6333333
1636,bontang,0.1333333,117.5
1637,bolaang mongondow,0.6870994,124.0641419
1638,minahasa,1,124.5833333
1639,kepulauan sangihe,3.5303212,125.5438967
1640,kepulauan talaud,4.092,126.768
1641,minahasa selatan,1.0946773,124.4641848
1642,minahasa utara,1.5327973,124.994751
1643,bolaang mongondow utara,0.818691,123.5280072
1644,siau tagulandang biaro,2.345964,125.4124355
1645,minahasa tenggara,1.0278551,124.7298765
1646,manado,1.4917014,124.842843
1647,bitung,1.4553529,125.204697
1648,tomohon,1.3234131,124.8384504
1649,kotamobagu,0.7333333,124.3166667
1650,banggai kepulauan,-1.6408137,123.5504076
1651,banggai,-1.6408137,123.5504076
1652,morowali,-2.3003072,121.5370003
1653,poso,-1.391922,120.766998
1654,donggala,-0.4233155,119.8352303
1655,toli-toli,0.8768231,120.7579834
1656,buol,0.9695452,121.3541631
1657,parigi moutong,0.5817607,120.8039474
1658,tojo una-una,-1.098757,121.5370003
1659,palu,-0.898583,119.850601
1660,selayar,-6,120.5
1661,bulukumba,-5.4329368,120.2051096
1662,bantaeng,-5.5169316,120.0202964
1663,jeneponto,-5.554579,119.6730939
1664,takalar,-5.4162493,119.4875668
1665,gowa,-5.3102888,119.742604
1666,sinjai,-5.2171961,120.112735
1667,maros,-4.94695,119.578903
1668,pangkajene dan kepulauan,-4.805035,119.5571677
1669,barru,-4.4172651,119.6730939
1670,bone,-2.083333,120.216667
1671,soppeng,-4.3518541,119.9277947
1672,wajo,-4.022229,120.0665236
