,district,latitude,longitude
1454,Kabupaten Bangka Barat,-2.2884782,106.0640179
1455,Kabupaten Bangka Tengah,-2.2884782,106.0640179
1456,Kabupaten Bangka Selatan,-2.2884782,106.0640179
1457,Kabupaten Belitung Timur,-2.8708938,107.9531836
1458,Kota Pangkal Pinang,-2.129323,106.109596
1459,Kabupaten Karimun,1.05,103.3666667
1460,Kabupaten Bintan,1.0619173,104.5189214
1461,Kabupaten Natuna,3.9329945,108.1812242
1462,Kabupaten Lingga,-0.1627686,104.6354631
1463,Kota Batam,1.0456264,104.0304535
1464,Kota Tanjung Pinang,0.9179205,104.446464
1465,Kabupaten Kepulauan Seribu,-5.7985266,106.5071982
1466,Kota Jakarta Selatan,-6.332973,106.807915
1467,Kota Jakarta Timur,-6.211544,106.845172
1468,Kota Jakarta Pusat,-6.211544,106.845172
1469,Kota Jakarta Barat,-6.211544,106.845172
1470,Kota Jakarta Utara,-6.211544,106.845172
1471,Kabupaten Bogor,-6.6,106.8
1472,Kabupaten Sukabumi,-6.92405,106.922203
1473,Kabupaten Cianjur,-6.8172531,107.1307289
1474,Kabupaten Bandung,-6.9147444,107.6098111
1475,Kabupaten Garut,-7.227906,107.908699
1476,Kabupaten Tasikmalaya,-7.327954,108.214104
1477,Kabupaten Ciamis,-7.3333333,108.35
1478,Kabupaten Kuningan,-6.9833333,108.4833333
1479,Kabupaten Cirebon,-6.715534,108.564003
1480,Kabupaten Majalengka,-6.8531026,108.2258897
1481,Kabupaten Sumedang,0.6095949,110.0330554
1482,Kabupaten Indramayu,-6.336315,108.325104
1483,Kabupaten Subang,-6.569361,107.752403
1484,Kabupaten Purwakarta,-6.5386806,107.4499404
1485,Kabupaten Karawang,-6.3227303,107.3375791
1486,Kabupaten Bekasi,-6.2333333,107
1487,Kabupaten Bandung Barat,-6.8937121,107.4321959
1488,Kota Bogor,-6.6,106.8
1489,Kota Sukabumi,-6.92405,106.922203
1490,Kota Bandung,-6.9147444,107.6098111
1491,Kota Cirebon,-6.715534,108.564003
1492,Kota Bekasi,-6.2333333,107
1493,Kota Depok,-6.39,106.83
1494,Kota Cimahi,-6.880239,107.5355
1495,Kota Tasikmalaya,-7.327954,108.214104
1496,Kota Banjar,-7.3666667,108.5333333
1497,Kabupaten Cilacap,-7.733333,109
1498,Kabupaten Banyumas,-7.4832133,109.140438
1499,Kabupaten Purbalingga,-7.390747,109.3638
1500,Kabupaten Banjarnegara,-7.402706,109.681396
1501,Kabupaten Kebumen,-7.678682,109.656502
1502,Kabupaten Purworejo,-7.709731,110.008003
1503,Kabupaten Wonosobo,-7.362109,109.899399
1504,Kabupaten Magelang,-7.481253,110.213799
1505,Kabupaten Boyolali,-7.523819,110.595901
1506,Kabupaten Klaten,-7.711687,110.595497
1507,Kabupaten Sukoharjo,-7.6808818,110.8195292
1508,Kabupaten Wonogiri,-7.817782,110.920601
1509,Kabupaten Karanganyar,-7.5961111,110.9508333
1510,Kabupaten Sragen,-7.430229,111.021301
1511,Kabupaten Grobogan,-7.0217194,110.9625854
1512,Kabupaten Blora,-6.95,111.4166667
1513,Kabupaten Rembang,-6.71124,111.345299
1514,Kabupaten Pati,-6.751338,111.038002
1515,Kabupaten Kudus,-6.804087,110.838203
